name,Selection,Bowl,Favorite,Underdog,Confidence_Score
Harper,San Diego State,Frisco,Ohio,San Diego State,5
Harper,Marshall,Gasparilla,Marshall,S. Florida,21
Harper,Hawaii,Hawaii,Hawaii,La. Tech,18
Harper,Northwestern,Holiday,Utah,Northwestern,3
Harper,BYU,Idaho Potato,BYU,W. Michigan,34
Harper,Temple,Independence,Temple,Duke,23
Harper,Arizona State,Las Vegas,Fresno State,Arizona State,10
Harper,Missouri,Liberty,Missouri,Oklahoma State,36
Harper,Cincinnati,Military,Cincinnati,Virginia Tech,29
Harper,Auburn,Music City,Auburn,Purdue,24
Harper,Clemson,National Championship,Winner of Cotton,Winner of Orange,40
Harper,Utah State,New Mexico,Utah State,N. Texas,35
Harper,App. State,New Orleans,App. State,MTSU,33
Harper,Alabama,Orange,Alabama,Oklahoma,38
Harper,Iowa,Outback,Mississippi State,Iowa,9
Harper,Michigan,Peach,Michigan,Florida,27
Harper,Wisconsin,Pinstripe,Miami,Wisconsin,8
Harper,Georgia Tech,Quick Lane,Georgia Tech,Minnesota,20
Harper,Michigan State,Redbox,Michigan State,Oregon,15
Harper,Ohio State,Rose,Ohio State,Washington,26
Harper,Georgia,Sugar,Georgia,Texas,37
Harper,Stanford,Sun,Stanford,Pittsburgh,30
Harper,Texas A&M,Taxslayer,Texas A&M,NC State,22
Harper,Baylor,Texas,Vanderbilt,Baylor,1
JBrown,Wash. State,Alamo,Wash. State,Iowa State,19
JBrown,Nevada,Arizona,Arkansas St.,Nevada,24
JBrown,Army,Armed Forces,Army,Houston,31
JBrown,FIU,Bahamas,Toledo,FIU,3
JBrown,South Carolina,Belk,South Carolina,Virginia,26
JBrown,Wake Forest,Birmingham,Memphis,Wake Forest,17
JBrown,UAB,Boca Raton,UAB,N. Illinois,4
JBrown,Ga. Southern,Camellia,E. Michigan,Ga. Southern,29
JBrown,W. Virginia,Camping World,W. Virginia,Syracuse,27
JBrown,California,Cheez-It,California,TCU,28
JBrown,Penn State,Citrus,Penn State,Kentucky,5
JBrown,Clemson,Cotton,Clemson,Notre Dame,38
JBrown,Louisiana,Cure,Tulane,Louisiana,21
JBrown,Troy,Dollar General,Buffalo,Troy,1
JBrown,UCF,Fiesta,LSU,UCF,15
JBrown,Boston College,First Responder,Boise State,Boston College,16
JBrown,Ohio,Frisco,Ohio,San Diego State,30
JBrown,S. Florida,Gasparilla,Marshall,S. Florida,8
JBrown,La. Tech,Hawaii,Hawaii,La. Tech,25
JBrown,Utah,Holiday,Utah,Northwestern,23
