favorite_orig	underdog_orig	bowl_orig	bowl	year	month	day	hour	minute	datetime	date_order	spread_order	location	favorite	spread	underdog	favorite_abbrev	underdog_abbrev	favorite_tiny	underdog_tiny	winner	winner_score	loser_score
Utah	Indiana	Foster Farms	Foster Farms	2016	12	28	20	30	20161228203000	23	25	Santa Clara, CA	Utah	-6.5	Indiana					Utah	26	24
Texas A&M	Kansas State	Texas 	Texas	2016	12	28	21	0	20161228210000	24	11	Houston, TX	Texas A&M	-2	Kansas St.					Kansas St.	33	28
South Florida	South Carolina	Birmingham 	Birmingham	2016	12	29	14	0	20161229140000	25	35	Birmingham, AL	South Florida	-11	South Carolina					South Florida	46	39
Virginia Tech	Arkansas 	Belk 	Belk	2016	12	29	17	30	20161229173000	26	24	Charlotte, NC	Virginia Tech	-6	Arkansas					Virginia Tech	35	24
Colorado	Oklahoma State	Alamo 	Alamo	2016	12	29	21	0	20161229210000	27	8	San Antonio, TX	Colorado	-2	Oklahoma St.					Oklahoma St.	38	8
TCU	Georgia	Liberty  	Liberty	2016	12	30	12	0	20161230120000	28	7	Memphis, TN	TCU	-1.5	Georgia					Georgia	31	23
North Carolina	Stanford	Sun	Sun	2016	12	30	14	0	20161230140000	29	5	El Paso, TX	North Carolina	-1	Stanford					Stanford	25	23
Tennessee	Nebraska	Music City 	Music City	2016	12	30	15	30	20161230153000	30	16	Nashville, TN	Tennessee	-3	Nebraska					Tennessee	38	24
Air Force	South Alabama	Arizona	Arizona	2016	12	30	17	30	20161230173000	31	41	Tucson, AZ	Air Force	-15	South Alabama					Air Force	45	21
Michigan 	Florida State	Orange 	Orange	2016	12	30	20	0	20161230200000	32	27	Miami Gardens, FL	Michigan	-7	Florida St.					Florida St.	33	32
LSU	Louisville	Citrus 	Citrus	2016	12	31	11	0	20161231110000	33	2	Orlando, FL	LSU	0	Louisville					LSU	29	9
Georgia Tech	Kentucky	Taxslayer 	TaxSlayer	2016	12	31	11	0	20161231110000	34	22	Jacksonville, FL	Georgia Tech	-5	Kentucky					Georgia Tech	33	18
Alabama	Washington	Peach 	Peach	2016	12	31	15	0	20161231150000	35	40	Atlanta, GA	Alabama	-14	Washington			Bama	Wash	Alabama	24	7
Ohio State	Clemson	Fiesta 	Fiesta	2016	12	31	19	0	20161231190000	36	15	Glendale, AZ	Ohio St.	-3	Clemson			OSU	Clem	Clemson	31	0
Wisconsin	Western Michigan	Cotton 	Cotton	2017	1	2	13	0	20170102130000	37	28	Arlington, TX	Wisconsin	-7.5	Western Michigan					Wisconsin	24	16
Florida	Iowa	Outback 	Outback	2017	1	2	13	0	20170102130000	38	9	Tampa, FL	Florida	-2	Iowa					Florida	30	3
USC	Penn State	Rose 	Rose	2017	1	2	17	0	20170102170000	39	30	Pasadena, CA	Southern Cal	-7.5	Penn St.					Southern Cal	52	49
Oklahoma	Auburn	Sugar 	Sugar	2017	1	2	20	30	20170102203000	40	31	New Orleans, LA	Oklahoma	-7.5	Auburn					Oklahoma	35	19
Winner of Peach	Winner of Fiesta	National Championship	Championship	2017	1	9	20	30	20170109203000	41	1	Tampa, FL	Peach	0	Fiesta					Clemson	35	31
